Epoch,Train_Loss,Val_WT_Dice
1,2.6220,N/A
2,1.8510,N/A
3,1.4117,N/A
4,1.1575,N/A
5,0.9508,N/A
6,0.8891,N/A
7,0.8242,N/A
8,0.8673,N/A
9,0.7037,N/A
10,0.8179,0.8379
11,0.7230,N/A
12,0.7643,N/A
13,0.7496,N/A
14,0.7359,N/A
15,0.7439,N/A
16,0.6595,N/A
17,0.6906,N/A
18,0.7344,N/A
19,0.7360,N/A
20,0.6683,0.8654
21,0.7081,N/A
22,0.7239,N/A
23,0.6464,N/A
24,0.6407,N/A
25,0.6067,N/A
26,0.6323,N/A
27,0.7025,N/A
28,0.7275,N/A
29,0.7040,N/A
30,0.5586,0.8052
31,0.6691,N/A
32,0.6393,N/A
33,0.6411,N/A
34,0.6129,N/A
35,0.6722,N/A
36,0.6064,N/A
37,0.6422,N/A
38,0.6813,N/A
39,0.5962,N/A
40,0.5405,0.8859
41,0.6656,N/A
42,0.6733,N/A
43,0.6693,N/A
44,0.5957,N/A
45,0.6455,N/A
46,0.7524,N/A
47,0.6497,N/A
48,0.6286,N/A
49,0.6208,N/A
50,0.6722,0.8833
51,0.6977,N/A
52,0.6038,N/A
53,0.6457,N/A
54,0.6574,N/A
55,0.6728,N/A
56,0.6266,N/A
57,0.6317,N/A
58,0.6308,N/A
59,0.6366,N/A
60,0.5630,0.8717
61,0.5905,N/A
62,0.5975,N/A
63,0.5572,N/A
64,0.6553,N/A
65,0.6093,N/A
66,0.6756,N/A
67,0.5920,N/A
68,0.5884,N/A
69,0.5705,N/A
70,0.5331,0.8860
71,0.6186,N/A
72,0.6951,N/A
73,0.6012,N/A
74,0.6140,N/A
75,0.6659,N/A
76,0.6463,N/A
77,0.5444,N/A
78,0.6421,N/A
79,0.6501,N/A
80,0.6072,0.8727
81,0.5524,N/A
82,0.5442,N/A
83,0.5767,N/A
84,0.5741,N/A
85,0.5988,N/A
86,0.6135,N/A
87,0.6324,N/A
88,0.6251,N/A
89,0.5122,N/A
90,0.6238,0.8798
91,0.5572,N/A
92,0.6120,N/A
93,0.5706,N/A
94,0.5231,N/A
95,0.6353,N/A
96,0.5650,N/A
97,0.5159,N/A
98,0.5206,N/A
99,0.5049,N/A
100,0.5265,0.8790
101,0.4907,N/A
102,0.4851,N/A
103,0.5069,N/A
104,0.4793,N/A
105,0.5208,N/A
106,0.4187,N/A
107,0.4731,N/A
108,0.4769,N/A
109,0.5077,N/A
110,0.4358,0.8923
111,0.5491,N/A
112,0.4766,N/A
113,0.4376,N/A
114,0.5092,N/A
115,0.4719,N/A
116,0.4831,N/A
117,0.5083,N/A
118,0.4538,N/A
119,0.4192,N/A
120,0.4621,0.8823
121,0.4600,N/A
122,0.4679,N/A
123,0.5042,N/A
124,0.5367,N/A
125,0.4495,N/A
126,0.4704,N/A
127,0.4907,N/A
128,0.4718,N/A
129,0.4916,N/A
130,0.3983,0.8929
131,0.4369,N/A
132,0.5400,N/A
133,0.4523,N/A
134,0.4548,N/A
135,0.5054,N/A
136,0.4489,N/A
137,0.4624,N/A
138,0.4653,N/A
139,0.4967,N/A
140,0.4078,0.8749
141,0.4429,N/A
142,0.4444,N/A
143,0.4753,N/A
144,0.4625,N/A
145,0.4343,N/A
146,0.4576,N/A
147,0.4312,N/A
148,0.4907,N/A
149,0.4997,N/A
150,0.4601,0.8500
151,0.4802,N/A
152,0.4659,N/A
153,0.4663,N/A
154,0.4840,N/A
155,0.4908,N/A
156,0.4902,N/A
157,0.4836,N/A
158,0.4869,N/A
159,0.4751,N/A
160,0.4951,0.8926
161,0.4500,N/A
162,0.4531,N/A
163,0.3958,N/A
164,0.3993,N/A
165,0.4792,N/A
166,0.4863,N/A
167,0.4321,N/A
168,0.4448,N/A
169,0.4571,N/A
170,0.4205,0.8739
171,0.4487,N/A
172,0.4166,N/A
173,0.4309,N/A
174,0.4346,N/A
175,0.5004,N/A
176,0.4438,N/A
177,0.4477,N/A
178,0.4065,N/A
179,0.4552,N/A
180,0.4113,0.8819
181,0.4486,N/A
182,0.4715,N/A
183,0.4695,N/A
184,0.4409,N/A
185,0.4281,N/A
186,0.4225,N/A
187,0.4184,N/A
188,0.4455,N/A
189,0.4839,N/A
190,0.4037,0.8985
191,0.4821,N/A
192,0.4694,N/A
193,0.4281,N/A
194,0.4319,N/A
195,0.5499,N/A
196,0.4487,N/A
197,0.4393,N/A
198,0.4763,N/A
199,0.4450,N/A
200,0.4198,0.8933
